[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Yes Both Teams To Score  @ [{'bookieCode': 'WA', 'oddsFractional': '39/50', 'oddsDecimal': '1.78', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2078445792*577156431*16443808'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Wirtz 1+ shot on target  @ [{'bookieCode': 'SK', 'oddsFractional': '10/11', 'oddsDecimal': '1.9', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '28492469*930.356217523'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Bowen 2+ fouls won  @ [{'bookieCode': 'SK', 'oddsFractional': '10/11', 'oddsDecimal': '1.9', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '11571082*930.356393256'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Yes Both Teams To Score  @ [{'bookieCode': 'WA', 'oddsFractional': '19/20', 'oddsDecimal': '1.95', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2077480431*576867694*16443805'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Fernandes to win 2+ fouls  @ [{'bookieCode': 'SK', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '7813767*930.356089852'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Cole Palmer & Joao Pedro to have 1 or more shots on target each  @ [{'bookieCode': 'PP', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96543681*927.373509614'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Fernandez 1+ shot on target  @ [{'bookieCode': 'SK', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '39081893*930.356201279'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Cole Palmer & Joao Pedro to have 1 or more shots on target each (Winner in 3 of their last 4 games in all comps)  @ [{'bookieCode': 'PP', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96545714*927.373509614'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Wilson to score or assist  @ [{'bookieCode': 'SK', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '7962341*930.356200385'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Cunha 1+ shot on target  @ [{'bookieCode': 'SK', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '93335026*930.356086827'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Man Utd To Score In The 1st Half - Was 4/6  @ [{'bookieCode': 'WH', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6129586743*1711637231*Man+Utd+To+Score+In+The+1st+Half+-+Was+4/6*Epic+Boost*false*OB_EV38960185'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Player Shots on Target - Matheus Cunha Over 0.5  @ [{'bookieCode': 'B3', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '859874807*190299215*Soccer*190299215*5~0.5~2988564~2/5~2'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bruno Fernandes & Luke Shaw each to be fouled 1 or more times (Have combined for 9 fouls won in their last 5 matches)  @ [{'bookieCode': 'PP', 'oddsFractional': '1/1', 'oddsDecimal': '2.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96579324*927.373428819'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Brighton To Win Either Half WAS 11/10  @ [{'bookieCode': 'BY', 'oddsFractional': '11/10', 'oddsDecimal': '2.1', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842271.1*461069614.1*2896272976.1'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Cole Palmer To Score Or Assist  @ [{'bookieCode': 'WA', 'oddsFractional': '11/10', 'oddsDecimal': '2.1', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2078597947*577201895*16443803'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Mitoma and Salah To Each Have 1+ Shots On Target (Was 23/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '11/10', 'oddsDecimal': '2.1', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978603*1064672268*3211789361*Brighton & Hove Albion vs Liverpool*Price Boosts*--'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Hudson-Odoi 1+ shot on target  @ [{'bookieCode': 'SK', 'oddsFractional': '11/10', 'oddsDecimal': '2.1', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '87247537*930.356393824'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Dominik Szoboszlai to have 1+ shots on target from outside the box (Has 1 in 4 out of his last 5 games in all comps)  @ [{'bookieCode': 'PP', 'oddsFractional': '6/5', 'oddsDecimal': '2.2', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96546715*927.373534918'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Everton To Win Either Half WAS 13/10  @ [{'bookieCode': 'BY', 'oddsFractional': '5/4', 'oddsDecimal': '2.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842273.1*461070057.1*2896276298.1'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Ampadu 2+ fouls committed  @ [{'bookieCode': 'SK', 'oddsFractional': '5/4', 'oddsDecimal': '2.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '12421461*930.356219647'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Morgan Gibbs-White to have 1 or more shots on target & to be fouled 1 or more times (Winner in his last 3 EPL matches)  @ [{'bookieCode': 'PP', 'oddsFractional': '11/8', 'oddsDecimal': '2.37', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96579244*927.373717086'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | West Ham To Win Either Half WAS 6/4  @ [{'bookieCode': 'BY', 'oddsFractional': '11/8', 'oddsDecimal': '2.38', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854504.1*461070295.1*2896277823.1'}]
